Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
Battlefield 1,PC,2016,Shooter,Electronic Arts,0.11,0.24,0.0,0.03,0.38,88.0,7.6
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,0.11,0.21,0.0,0.06,0.38,84.0,7.6
Just Dance 2014,PS3,2013,Misc,Ubisoft,0.17,0.14,0.0,0.06,0.38,77.0,7.1
Wii Sports Club,WiiU,2014,Sports,Nintendo,0.17,0.14,0.04,0.03,0.38,68.0,7.0
GRID 2,PS3,2013,Racing,Codemasters,0.07,0.22,0.01,0.08,0.37,82.0,6.6
Tiger Woods PGA Tour 14,PS3,2013,Sports,Electronic Arts,0.16,0.14,0.0,0.07,0.37,74.0,3.8
BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,0.1,0.19,0.02,0.06,0.37,84.0,8.5
Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,Square Enix,0.13,0.08,0.15,0.02,0.37,83.0,8.2
Rocket League,PS4,2016,Sports,505 Games,0.03,0.28,0.0,0.05,0.37,85.0,8.7
DiRT Rally,PS4,2016,Racing,Codemasters,0.04,0.27,0.0,0.05,0.37,85.0,8.1
Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive,0.11,0.22,0.0,0.03,0.36,81.0,5.5
Star Fox: Zero,WiiU,2016,Shooter,Nintendo,0.17,0.1,0.07,0.03,0.36,69.0,7.4
Sword Art Online: Lost Song,PSV,2015,Role-Playing,Namco Bandai Games,0.06,0.04,0.23,0.03,0.36,70.0,7.1
Just Dance 2016,PS4,2015,Misc,Ubisoft,0.17,0.13,0.0,0.06,0.36,73.0,6.8
Fossil Fighters: Frontier,3DS,2014,Role-Playing,Nintendo,0.08,0.04,0.23,0.01,0.36,57.0,4.8
Watch Dogs 2,XOne,2016,Action,Ubisoft,0.17,0.16,0.0,0.03,0.36,83.0,7.7
Dragon's Crown,PSV,2013,Role-Playing,Nippon Ichi Software,0.14,0.05,0.12,0.05,0.35,78.0,8.4
Earth Defense Force 2025,PS3,2013,Shooter,D3Publisher,0.04,0.02,0.27,0.01,0.35,69.0,7.5
Middle-Earth: Shadow of Mordor,PC,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.2,0.0,0.03,0.35,84.0,8.0
Tiger Woods PGA Tour 14,X360,2013,Sports,Electronic Arts,0.21,0.12,0.0,0.03,0.35,77.0,6.2
Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,0.06,0.21,0.03,0.05,0.35,48.0,3.8
One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,0.11,0.13,0.07,0.05,0.35,66.0,7.8
Toukiden: The Age of Demons,PSV,2013,Action,Tecmo Koei,0.04,0.04,0.25,0.02,0.35,71.0,8.0
Metro: Last Light,X360,2013,Action,Deep Silver,0.17,0.15,0.0,0.03,0.35,80.0,8.4
Football Manager 2016,PC,2015,Simulation,Sega,0.0,0.33,0.0,0.02,0.35,81.0,6.9
Defiance,PS3,2013,Shooter,Trion Worlds,0.19,0.1,0.0,0.06,0.35,59.0,6.9
LEGO Marvel's Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.19,0.12,0.0,0.03,0.35,71.0,5.1
Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,0.11,0.16,0.02,0.05,0.35,69.0,4.7
Sniper Elite 3,XOne,2014,Shooter,505 Games,0.2,0.11,0.0,0.03,0.35,63.0,6.6
TrackMania Turbo,PS4,2016,Action,Ubisoft,0.03,0.26,0.0,0.05,0.35,81.0,7.9
Call of Duty: Ghosts,WiiU,2013,Shooter,Activision,0.22,0.09,0.01,0.03,0.34,69.0,3.4
Company of Heroes 2,PC,2013,Strategy,THQ,0.06,0.25,0.0,0.04,0.34,80.0,2.1
Rayman Legends,XOne,2014,Platform,Ubisoft,0.13,0.18,0.0,0.03,0.34,91.0,7.9
World of Final Fantasy,PS4,2016,Role-Playing,Square Enix,0.08,0.14,0.08,0.04,0.33,77.0,8.3
NHL 17,PS4,2016,Sports,Electronic Arts,0.19,0.08,0.0,0.06,0.33,78.0,5.8
Sniper: Ghost Warrior 2,PS3,2013,Shooter,City Interactive,0.05,0.18,0.03,0.07,0.33,52.0,6.0
Dragon Ball Z: Extreme Butoden,3DS,2015,Fighting,Namco Bandai Games,0.12,0.03,0.16,0.02,0.33,61.0,6.6
Danganronpa: Trigger Happy Havoc,PSV,2013,Misc,Nippon Ichi Software,0.09,0.05,0.15,0.04,0.33,80.0,8.1
Hatsune Miku: Project Mirai DX,3DS,2015,Misc,Sega,0.16,0.04,0.1,0.02,0.32,80.0,8.5
Just Dance 2016,XOne,2015,Misc,Ubisoft,0.25,0.04,0.0,0.03,0.32,66.0,6.1
Remember Me,PS3,2013,Action,Capcom,0.1,0.17,0.0,0.06,0.32,72.0,7.4
Dragon Ball: XenoVerse,XOne,2015,Fighting,Namco Bandai Games,0.18,0.11,0.0,0.03,0.32,67.0,7.2
World of Warcraft: Legion,PC,2016,Role-Playing,Activision,0.13,0.16,0.0,0.03,0.32,88.0,7.5
Hatsune Miku: Project Diva F 2nd,PSV,2014,Misc,Sega,0.08,0.05,0.16,0.04,0.32,81.0,8.4
Persona 4: Dancing All Night,PSV,2015,Misc,Nippon Ichi Software,0.09,0.04,0.15,0.04,0.32,76.0,8.6
Murdered: Soul Suspect,PS4,2014,Action,Square Enix,0.09,0.16,0.02,0.05,0.32,59.0,6.9
Batman: Arkham Origins,PC,2013,Action,Warner Bros. Interactive Entertainment,0.13,0.16,0.0,0.02,0.31,74.0,7.5
Drakengard 3,PS3,2013,Role-Playing,Square Enix,0.1,0.0,0.19,0.02,0.31,61.0,7.7
Batman: Arkham Origins,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.19,0.09,0.0,0.03,0.31,68.0,7.4
Sonic Boom: Rise of Lyric,WiiU,2014,Action,Sega,0.19,0.09,0.0,0.03,0.31,32.0,3.6
Tropico 5,PS4,2015,Simulation,Kalypso Media,0.06,0.16,0.06,0.04,0.31,76.0,7.1
LEGO Legends of Chima: Laval's Journey,3DS,2013,Adventure,Warner Bros. Interactive Entertainment,0.18,0.1,0.0,0.03,0.31,65.0,3.6
Skylanders: SuperChargers,PS4,2015,Action,Activision,0.17,0.08,0.0,0.05,0.31,81.0,3.3
Dragon Ball Z: Battle of Z,PS3,2014,Fighting,Namco Bandai Games,0.1,0.1,0.06,0.04,0.31,54.0,5.3
BlazBlue: Chrono Phantasma,PS3,2013,Fighting,Arc System Works,0.14,0.0,0.14,0.03,0.3,83.0,8.3
Mario Party: Star Rush,3DS,2016,Misc,Nintendo,0.08,0.13,0.08,0.02,0.3,68.0,6.8
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,Namco Bandai Games,0.21,0.07,0.0,0.03,0.3,81.0,8.5
Batman: Arkham VR,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.25,0.0,0.0,0.06,0.3,75.0,7.3
F1 2013,X360,2013,Racing,Codemasters,0.01,0.27,0.0,0.02,0.3,79.0,6.6
Sword Art Online: Hollow Fragment,PSV,2014,Role-Playing,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,67.0,7.6
Lego Star Wars: The Force Awakens,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.14,0.13,0.0,0.02,0.3,76.0,7.0
Deadpool,PS4,2015,Action,Activision,0.14,0.11,0.0,0.05,0.29,60.0,5.7
UEFA Euro 2016,PS4,2016,Sports,Konami Digital Entertainment,0.0,0.22,0.04,0.04,0.29,72.0,6.6
Borderlands: The Pre-Sequel,PC,2014,Shooter,Take-Two Interactive,0.11,0.15,0.0,0.02,0.29,75.0,6.2
Sonic Boom: Shattered Crystal,3DS,2014,Action,Sega,0.17,0.09,0.0,0.03,0.29,47.0,6.3
Angry Birds Star Wars,PS3,2013,Strategy,Activision,0.1,0.14,0.0,0.05,0.29,49.0,3.6
Metal Gear Solid V: Ground Zeroes,XOne,2014,Action,Konami Digital Entertainment,0.15,0.11,0.0,0.02,0.29,76.0,5.4
Disgaea 5: Alliance of Vengeance,PS4,2015,Role-Playing,Nippon Ichi Software,0.11,0.08,0.06,0.04,0.29,80.0,8.1
Assassin's Creed IV: Black Flag,WiiU,2013,Action,Ubisoft,0.17,0.09,0.0,0.03,0.29,86.0,7.7
FIFA 15,PC,2014,Sports,Electronic Arts,0.0,0.27,0.0,0.02,0.28,82.0,4.2
Hatsune Miku: Project Diva f,PS3,2013,Misc,Sega,0.08,0.0,0.19,0.02,0.28,73.0,8.4
NES Remix,WiiU,2014,Action,Nintendo,0.17,0.0,0.08,0.02,0.28,71.0,7.1
Angry Birds Star Wars,X360,2013,Strategy,Activision,0.16,0.1,0.0,0.02,0.28,59.0,5.6
One Piece: Unlimited World Red,PS3,2014,Action,Namco Bandai Games,0.09,0.1,0.06,0.04,0.28,71.0,7.3
Army of Two: The Devil's Cartel,PS3,2013,Shooter,Electronic Arts,0.11,0.11,0.01,0.05,0.28,58.0,6.7
GRID 2,X360,2013,Racing,Codemasters,0.08,0.16,0.0,0.03,0.27,78.0,5.8
The Evil Within,PC,2014,Action,Bethesda Softworks,0.1,0.16,0.0,0.02,0.27,68.0,5.9
Rory McIlroy PGA Tour,XOne,2015,Action,Electronic Arts,0.16,0.09,0.0,0.02,0.27,60.0,4.3
LEGO The Hobbit,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.12,0.0,0.02,0.27,69.0,6.8
Lightning Returns: Final Fantasy XIII,X360,2013,Role-Playing,Square Enix,0.15,0.08,0.01,0.02,0.27,69.0,6.6
Batman: Arkham Origins Blackgate,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.09,0.0,0.02,0.27,68.0,6.8
Ultimate NES Remix,3DS,2014,Action,Unknown,0.15,0.09,0.0,0.02,0.27,69.0,7.6
Batman: Return to Arkham,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.16,0.0,0.04,0.26,73.0,8.5
Tearaway Unfolded,PS4,2015,Platform,Sony Computer Entertainment,0.09,0.13,0.0,0.04,0.26,81.0,8.1
Etrian Odyssey Untold: The Millennium Girl,3DS,2013,Role-Playing,Atlus,0.1,0.01,0.14,0.01,0.26,80.0,8.2
WWE 2K17,XOne,2016,Sports,Take-Two Interactive,0.12,0.12,0.0,0.02,0.26,68.0,5.5
Project CARS,XOne,2015,Racing,Slightly Mad Studios,0.11,0.13,0.0,0.02,0.26,81.0,5.8
Battleborn,PS4,2016,Shooter,Take-Two Interactive,0.12,0.08,0.02,0.04,0.26,68.0,6.8
Resident Evil: Revelations,X360,2013,Action,Capcom,0.12,0.1,0.02,0.02,0.26,75.0,7.4
Army of Two: The Devil's Cartel,X360,2013,Shooter,Electronic Arts,0.16,0.07,0.0,0.02,0.26,54.0,6.2
Puppeteer,PS3,2013,Platform,Sony Computer Entertainment Europe,0.11,0.08,0.02,0.04,0.26,80.0,8.5
The Legend of Legacy,3DS,2015,Role-Playing,FuRyu,0.12,0.01,0.1,0.02,0.25,67.0,7.1
PlayStation VR Worlds,PS4,2016,Misc,Sony Computer Entertainment,0.06,0.14,0.02,0.04,0.25,59.0,7.1
Anno 2205,PC,2015,Strategy,Ubisoft,0.02,0.22,0.0,0.02,0.25,72.0,5.9
Hatsune Miku: Project Diva F 2nd,PS3,2014,Misc,Sega,0.09,0.03,0.1,0.03,0.25,78.0,8.6
Need for Speed Rivals,PC,2013,Racing,Electronic Arts,0.04,0.19,0.0,0.02,0.25,76.0,3.3
The Bureau: XCOM Declassified,PS3,2013,Shooter,Take-Two Interactive,0.08,0.13,0.0,0.04,0.25,69.0,6.7
Sid Meier's Civilization VI,PC,2016,Strategy,Take-Two Interactive,0.09,0.13,0.0,0.02,0.25,88.0,7.3
Sword Art Online: Lost Song,PS4,2015,Role-Playing,Namco Bandai Games,0.1,0.11,0.0,0.04,0.25,63.0,6.3
F1 2015,XOne,2015,Racing,Codemasters,0.08,0.15,0.0,0.02,0.25,64.0,5.3
Sly Cooper: Thieves in Time,PSV,2013,Platform,Sony Computer Entertainment Europe,0.13,0.06,0.0,0.06,0.25,75.0,8.2
Stella Glow,3DS,2015,Role-Playing,Atlus,0.16,0.01,0.05,0.02,0.24,79.0,8.7
Trials Fusion,XOne,2014,Racing,Ubisoft,0.12,0.1,0.0,0.02,0.24,80.0,7.1
Onechanbara Z2: Chaos,PS4,2014,Action,Nippon Ichi Software,0.14,0.03,0.04,0.04,0.24,57.0,6.5
Skylanders SWAP Force,3DS,2013,Platform,Activision,0.1,0.12,0.0,0.02,0.24,68.0,6.4
Skylanders: SuperChargers,XOne,2015,Action,Activision,0.17,0.05,0.0,0.02,0.24,76.0,5.5
Samurai Warriors 4,PS4,2014,Action,Tecmo Koei,0.08,0.07,0.06,0.03,0.24,76.0,8.1
Total War: Attila,PC,2015,Strategy,Sega,0.09,0.13,0.0,0.02,0.24,80.0,7.3
NHL 17,XOne,2016,Sports,Electronic Arts,0.2,0.01,0.0,0.03,0.24,77.0,4.0
Etrian Mystery Dungeon,3DS,2015,Role-Playing,Nippon Ichi Software,0.09,0.01,0.13,0.01,0.24,77.0,7.9
Zumba Fitness: World Party,XOne,2013,Misc,Majesco Entertainment,0.17,0.05,0.0,0.02,0.24,73.0,6.2
Rocket League,XOne,2016,Sports,505 Games,0.05,0.17,0.0,0.02,0.24,87.0,8.3
NBA Live 14,PS4,2013,Sports,Electronic Arts,0.15,0.05,0.0,0.04,0.24,43.0,2.7
LEGO Marvel's Avengers,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.1,0.0,0.02,0.24,69.0,6.8
Pro Evolution Soccer 2014,X360,2013,Action,Konami Digital Entertainment,0.07,0.15,0.0,0.02,0.24,80.0,4.3
NBA Live 15,PS4,2014,Sports,Electronic Arts,0.16,0.04,0.0,0.04,0.23,59.0,5.6
Dynasty Warriors: Gundam Reborn,PS3,2013,Action,Tecmo Koei,0.0,0.0,0.23,0.0,0.23,64.0,7.5
The Legend of Heroes: Trails of Cold Steel,PSV,2013,Role-Playing,Nippon Ichi Software,0.05,0.02,0.14,0.02,0.23,77.0,7.5
XCOM 2,PC,2016,Strategy,Take-Two Interactive,0.09,0.12,0.0,0.02,0.23,88.0,7.1
Tom Clancy's Rainbow Six: Siege,PC,2015,Shooter,Ubisoft,0.13,0.08,0.0,0.02,0.23,79.0,6.9
Transformers: Devastation,PS4,2015,Action,Activision,0.1,0.09,0.0,0.04,0.23,77.0,7.5
Toukiden Kiwami,PSV,2014,Action,Tecmo Koei,0.02,0.02,0.17,0.01,0.23,82.0,8.6
Killer is Dead,PS3,2013,Action,Deep Silver,0.12,0.03,0.05,0.03,0.23,64.0,7.9
F1 2014,X360,2014,Racing,Codemasters,0.08,0.13,0.0,0.02,0.23,64.0,4.1
Soul Sacrifice Delta,PSV,2014,Action,Sony Computer Entertainment,0.0,0.08,0.12,0.02,0.22,82.0,8.4
Ride,PS4,2015,Racing,Milestone S.r.l.,0.04,0.13,0.03,0.03,0.22,66.0,7.0
The Sims 4: Get Together,PC,2015,Simulation,Electronic Arts,0.05,0.15,0.0,0.02,0.22,72.0,7.3
Dishonored 2,XOne,2016,Action,Bethesda Softworks,0.12,0.08,0.0,0.02,0.22,88.0,6.8
Lords of the Fallen,XOne,2014,Role-Playing,Square Enix,0.1,0.1,0.0,0.02,0.22,71.0,6.7
Senran Kagura 2: Deep Crimson ,3DS,2014,Action,Marvelous Entertainment,0.1,0.02,0.08,0.01,0.22,58.0,6.8
Naruto Shippuden: Ultimate Ninja Storm Revolution,X360,2014,Fighting,Namco Bandai Games,0.14,0.06,0.0,0.02,0.22,62.0,7.3
Angry Birds Star Wars,PS4,2013,Strategy,Activision,0.1,0.08,0.0,0.04,0.21,47.0,2.0
Code Name: S.T.E.A.M.,3DS,2015,Strategy,Nintendo,0.14,0.05,0.01,0.02,0.21,69.0,7.7
The Bureau: XCOM Declassified,X360,2013,Shooter,Take-Two Interactive,0.1,0.1,0.0,0.02,0.21,68.0,6.7
Dragon Ball: Fusions,3DS,2016,Role-Playing,Namco Bandai Games,0.02,0.0,0.19,0.0,0.21,68.0,7.6
Disgaea D2: A Brighter Darkness,PS3,2013,Role-Playing,Nippon Ichi Software,0.09,0.0,0.1,0.02,0.21,74.0,8.1
Assassin's Creed Syndicate,PC,2015,Action,Ubisoft,0.11,0.09,0.0,0.02,0.21,74.0,5.9
World of Final Fantasy,PSV,2016,Role-Playing,Square Enix,0.04,0.06,0.08,0.03,0.21,77.0,8.6
Danganronpa Another Episode: Ultra Despair Girls,PSV,2014,Action,Nippon Ichi Software,0.06,0.01,0.12,0.02,0.21,72.0,8.4
The Wolf Among Us,PS4,2014,Adventure,Telltale Games,0.1,0.07,0.0,0.04,0.21,83.0,8.4
NBA Live 15,XOne,2014,Sports,Electronic Arts,0.17,0.02,0.0,0.02,0.21,53.0,6.8
Hitman: HD Trilogy,PS3,2013,Action,Square Enix,0.07,0.09,0.0,0.04,0.21,71.0,7.6
J Stars Victory Vs.,PSV,2014,Fighting,Namco Bandai Games,0.0,0.03,0.17,0.01,0.21,74.0,7.9
Mega Man Legacy Collection,3DS,2016,Platform,Capcom,0.14,0.0,0.05,0.02,0.21,77.0,7.1
Defiance,PC,2013,Shooter,Trion Worlds,0.14,0.04,0.0,0.02,0.21,64.0,6.5
Tony Hawk's Pro Skater 5,PS4,2015,Sports,Activision,0.09,0.08,0.0,0.03,0.21,32.0,1.5
Lost Planet 3,PS3,2013,Shooter,Capcom,0.07,0.05,0.06,0.02,0.21,61.0,5.5
Assassin's Creed The Ezio Collection,PS4,2016,Action,Ubisoft,0.04,0.13,0.0,0.03,0.2,72.0,7.4
God of War Collection,PSV,2014,Action,Sony Computer Entertainment,0.08,0.06,0.01,0.05,0.2,73.0,7.4
Sniper: Ghost Warrior 2,X360,2013,Shooter,City Interactive,0.06,0.12,0.0,0.02,0.2,52.0,5.7
Disney's Planes,WiiU,2013,Simulation,Disney Interactive Studios,0.14,0.04,0.0,0.02,0.2,51.0,5.3
Zombie Army Trilogy,PS4,2015,Shooter,Rebellion Developments,0.05,0.12,0.0,0.03,0.2,62.0,6.8
The Witch and the Hundred Knight,PS3,2013,Role-Playing,Nippon Ichi Software,0.07,0.02,0.1,0.02,0.2,53.0,7.5
FIFA 16,PC,2015,Sports,Electronic Arts,0.06,0.13,0.0,0.01,0.2,81.0,4.4
NBA Live 14,XOne,2013,Sports,Electronic Arts,0.16,0.02,0.0,0.02,0.2,36.0,3.1
Dragon Ball: Xenoverse 2,XOne,2016,Action,Namco Bandai Games,0.11,0.07,0.0,0.02,0.2,73.0,7.3
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software,0.07,0.04,0.07,0.02,0.2,87.0,8.2
The Legend of Heroes: Trails of Cold Steel,PS3,2013,Role-Playing,Nippon Ichi Software,0.05,0.02,0.12,0.01,0.2,86.0,7.7
Dying Light,PC,2015,Action,Warner Bros. Interactive Entertainment,0.12,0.06,0.0,0.02,0.2,75.0,7.9
Castlevania: Lords of Shadow 2,PS3,2014,Action,Konami Digital Entertainment,0.03,0.12,0.02,0.03,0.2,63.0,7.8
Bound By Flame,PS4,2014,Role-Playing,Focus Home Interactive,0.08,0.09,0.0,0.03,0.19,53.0,5.9
LEGO Marvel's Avengers,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.09,0.01,0.01,0.19,60.0,7.1
Mafia III,PC,2016,Action,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,63.0,3.2
Fighter Within,XOne,2013,Fighting,Ubisoft,0.11,0.07,0.0,0.02,0.19,23.0,3.0
Guitar Hero Live,WiiU,2015,Misc,Activision,0.12,0.05,0.0,0.02,0.19,84.0,6.1
Dynasty Warriors 8: Empires,PS4,2014,Action,Tecmo Koei,0.06,0.07,0.03,0.03,0.19,63.0,7.5
South Park: The Stick of Truth,PC,2014,Role-Playing,Ubisoft,0.07,0.1,0.0,0.01,0.19,85.0,8.6
Injustice: Gods Among Us,WiiU,2013,Fighting,Warner Bros. Interactive Entertainment,0.09,0.08,0.0,0.02,0.19,82.0,7.9
Metro: Last Light,PC,2013,Action,Deep Silver,0.06,0.11,0.0,0.02,0.19,82.0,8.6
Evolve,PC,2015,Shooter,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,77.0,4.3
Resident Evil: Revelations,WiiU,2013,Action,Capcom,0.07,0.07,0.03,0.01,0.19,80.0,7.5
The Legend of Heroes: Trails of Cold Steel II,PSV,2014,Role-Playing,Nippon Ichi Software,0.02,0.02,0.13,0.01,0.19,80.0,7.3
Singstar: Ultimate Party,PS4,2014,Misc,Sony Computer Entertainment Europe,0.0,0.16,0.0,0.03,0.19,47.0,4.1
Tom Clancy's Splinter Cell: Blacklist,PC,2013,Action,Ubisoft,0.04,0.13,0.0,0.01,0.19,82.0,7.4
Saints Row IV,PC,2013,Action,Deep Silver,0.11,0.06,0.0,0.02,0.19,86.0,7.4
Dance Central: Spotlight,XOne,2014,Misc,Microsoft Game Studios,0.15,0.03,0.0,0.0,0.19,74.0,7.0
Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,Namco Bandai Games,0.06,0.02,0.1,0.02,0.19,69.0,7.7
Fairy Fencer F,PS3,2013,Role-Playing,Nippon Ichi Software,0.05,0.03,0.09,0.02,0.19,65.0,7.4
Shape Up,XOne,2014,Misc,Ubisoft,0.08,0.09,0.0,0.01,0.18,58.0,8.3
Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Role-Playing,Tecmo Koei,0.06,0.02,0.08,0.02,0.18,76.0,7.7
Saint Seiya: Soldiers' Soul,PS4,2015,Fighting,Namco Bandai Games,0.0,0.12,0.04,0.02,0.18,59.0,7.8
Corpse Party: Blood Drive,PSV,2014,Adventure,Marvelous Interactive,0.08,0.01,0.06,0.03,0.18,60.0,7.4
MotoGP 14 ,PS4,2014,Racing,Milestone S.r.l.,0.04,0.11,0.0,0.03,0.18,73.0,6.4
Valhalla Knights 3,PSV,2013,Role-Playing,Xseed Games,0.04,0.01,0.12,0.01,0.18,48.0,6.8
Senran Kagura: Estival Versus,PSV,2015,Action,Marvelous Interactive,0.04,0.02,0.09,0.02,0.18,71.0,7.4
GRID Autosport,PS3,2014,Racing,Codemasters,0.05,0.09,0.01,0.03,0.18,75.0,6.8
Aliens: Colonial Marines,PC,2013,Shooter,Sega,0.1,0.06,0.0,0.02,0.18,45.0,3.5
Remember Me,X360,2013,Action,Capcom,0.1,0.06,0.0,0.02,0.18,70.0,7.5
Senran Kagura: Estival Versus,PS4,2015,Action,Marvelous Interactive,0.08,0.0,0.08,0.02,0.18,67.0,8.0
NBA Live 16,PS4,2015,Sports,Electronic Arts,0.1,0.04,0.0,0.03,0.18,59.0,6.1
Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games,0.08,0.08,0.0,0.01,0.17,91.0,7.1
Project Spark,XOne,2014,Misc,Microsoft Game Studios,0.11,0.05,0.0,0.02,0.17,73.0,7.0
Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,0.05,0.07,0.02,0.02,0.17,74.0,7.6
